exp1,res1,exp2,res2,exp3,res3,exp4,res4,exp5,res5,exp6,res6,exp7,res7,exp8,res8,exp9,res9,exp10,res10,exp11,res11,exp12,res12,exp13,res13,exp14,res14
13.06848977,1,15.36675291,1,13.71440434,1,15.75207047,1,11.48972542,0,12.97225929,1,14.8845186,1,15.11921206,0,10.94445237,1,15.01970408,1,16.52481524,1,17.22208205,1,19.21250193,1,17.93950059,1
12.71732394,1,15.10254903,1,14.20417394,1,15.50700091,1,11.59921474,1,13.77582357,1,14.17545926,1,16.10958369,0,11.24977532,1,14.90670917,1,15.55465702,1,17.25381921,1,17.88543057,1,18.79490762,1
12.8995532,1,15.47370177,0,14.74362542,1,14.70571959,1,11.58748993,1,14.03452962,1,13.94821465,1,15.57788235,1,11.02090734,1,13.99436061,1,15.13822176,1,15.88174017,1,18.68407847,1,17.15624877,1
13.39346726,1,15.47907081,1,14.57706126,1,15.27636969,1,11.31289234,1,12.98576324,1,14.42870961,1,15.2299633,1,11.57184059,1,14.64735323,1,15.2339099,0,17.09104649,1,18.60606181,1,17.97020044,1
12.90596641,1,14.7622333,1,14.81236403,1,14.92668434,1,10.95176759,1,13.02706114,1,13.73536834,1,15.17619353,0,11.37335654,1,15.83616966,1,15.59132574,1,16.94839572,1,18.29742227,1,18.95156768,1
13.37702831,1,15.4303342,1,14.71026974,1,15.37950176,0,10.30723482,1,12.40786705,1,14.91442248,1,15.43257495,1,10.89755538,1,15.20145671,1,16.09697034,1,17.26121347,1,19.02820088,0,18.78751393,1
14.06484688,1,15.9659564,1,14.60980616,1,15.67257645,1,10.85747392,1,13.91399542,1,14.17108937,1,15.20826925,1,11.30051712,1,15.33856902,1,14.64475957,1,17.51595026,1,18.70880185,1,18.31243818,1
13.31571428,1,15.03124712,1,14.00757076,1,15.79891282,1,10.87503638,1,13.44607914,1,13.83138005,1,15.26766248,1,11.80902603,1,15.01939574,1,15.1136826,1,16.78654315,0,18.47398316,1,18.77852161,1
13.38174817,1,14.98157584,1,15.16826563,1,15.32467193,1,10.39061459,1,13.10099218,1,14.66411462,1,15.72156242,1,12.19422134,1,15.19375821,1,13.99052537,1,16.77581372,1,17.30815452,0,18.28648145,1
13.06637604,1,14.94240343,1,13.71028195,1,15.48182486,1,11.98843454,1,13.85099416,1,13.867988,1,15.19409733,1,12.57717336,1,15.02723588,0,16.12000139,0,17.19424203,1,18.3018404,1,19.00478305,1
13.12217773,1,14.92840445,1,13.80303469,1,15.60599544,1,11.02719257,0,13.5742087,0,14.08959084,1,15.76724512,1,12.0216338,1,15.28119915,1,15.80435087,1,16.89921041,1,18.41690362,1,17.84992626,1
13.19391063,1,15.48747394,1,15.03574255,0,15.47468164,1,11.51019112,1,13.52166053,1,13.99436132,1,16.29921647,1,11.42808218,1,14.90097776,1,14.6830596,1,17.7672268,1,19.05162175,1,18.1031195,0
13.75637345,1,14.94446972,0,14.18182161,1,15.86698321,1,11.14725974,1,14.02878041,1,14.54277383,0,15.23522011,1,11.377223,1,15.60285749,1,14.73736855,1,16.65951604,0,19.13902508,1,18.19333778,1
12.79735248,1,14.90106145,1,14.09671962,1,15.260243,1,11.37138692,1,14.10187181,1,13.9707199,1,15.3893976,1,11.78158038,0,15.01488233,1,14.79681373,1,16.22098161,1,17.16566261,1,17.68606535,1
13.91593241,1,15.79075553,1,13.9898701,0,15.62572012,1,11.86716175,1,13.43215863,1,14.89965311,1,15.5603229,1,11.77661589,1,14.52678236,1,15.58770927,1,17.01732533,1,18.69154687,1,18.13683904,1
